product,call_reason,call_reason_l2,broad_theme_l3,intermediate_theme_l4,granular_theme_l5,exact_problem_statement,digital_friction,key_solution,policy_friction,friction_driver_category
Cash,Fraud & Disputes,Fraud Alert,Fraud Prevention,Suspicious Activity,Provisional Credit Delay,Customer wants to lock their card temporarily while they look for it at home. The app only offers 'Report Lost/Stolen' which permanently cancels the card.,"App only offers permanent card cancellation -- no temporary lock/unlock toggle. Customer must call to place a temporary hold.
The 'Report Lost/Stolen' flow immediately orders a new card and deactivates the current one with no confirmation step.","Add temporary card lock/unlock toggle on the card management screen. Separate from 'Report Lost/Stolen' flow.
Add confirmation step before permanent card cancellation with explanation of the difference.",Yes,Third-party Dependency
Cash,Authentication & Access,Password Reset,Sign On,Password Management,Biometric Fallback Missing,Customer cannot log in because OTP is not being delivered to their phone. They've waited 15 minutes and tried 3 times.,"OTP delivery via SMS has 30-60 second delays during peak hours. No fallback to email or authenticator app OTP.
The 'Resend OTP' button has a 60-second cooldown with no visible timer showing remaining wait time.","Add email and authenticator app as OTP fallback channels. Show countdown timer on resend button.
Implement push notification OTP that doesn't depend on SMS delivery.",Yes,Information Gap
ATT,Transactions & Statements,Missing Transaction,Transaction History,Real-time Posting,Merchant Name Mismatch,Customer doesn't recognize a charge labeled 'DBI*MGMT FEE' on their statement. Wants to know what it is before disputing.,"Merchant names in transaction list use payment processor codes instead of recognizable business names (e.g., 'SQ *COFFEE' instead of 'Blue Bottle Coffee').
No merchant category or location info displayed to help customers identify charges.","Implement merchant name enrichment using merchant category codes and location data. Show business names instead of processor codes.
Add merchant logo, category icon, and map location for in-store transactions.",No,Policy Restriction
Rewards,Profile & Settings,Email Update,Account Lifecycle,Privacy Settings,Name Change Document Upload Error,Customer wants to close their account but the app says 'Visit a branch or call us'. There's no online closure option.,"Account closure requires calling or visiting a branch. No digital self-service option even for zero-balance accounts.
The closure process takes 30+ days with no status tracking and requires 3 separate confirmation steps.","Enable digital account closure for zero-balance accounts with no outstanding obligations.
Provide closure status tracking and reduce processing time to 5 business days with clear timeline.",No,Policy Restriction
ATT,Rewards & Loyalty,Points Expiry,Loyalty Tier,Travel Redemption,Promotional Points Missing,Customer's cashback was posted as points instead of statement credit. They can't find where to change their redemption preference.,"Cashback redemption preference setting is hidden under Rewards > Settings > Preferences > Redemption Method (4 levels deep).
No way to set default redemption for all future cashback -- must choose each time.","Move redemption preference to top-level rewards settings (1 tap from dashboard). Add 'Set as default' option.
Allow customers to set auto-redemption rules (e.g., auto statement credit every 5,000 points).",Yes,UI/UX Flaw
Rewards,Transactions & Statements,Statement Error,Transaction History,Real-time Posting,Statement PDF Download Failure,Same restaurant charge appears twice in the transaction list but the customer says they only visited once. Amounts are identical.,"Transaction list doesn't merge duplicate authorization/settlement entries. Same charge appears as both 'pending' and 'posted'.
No visual indicator to distinguish between pending authorizations and final posted charges.","Auto-merge duplicate pending/posted entries for the same authorization. Add clear 'Pending' vs 'Posted' badges.
Only show final posted amount once settlement completes and remove the pending entry.",Yes,Process Gap
Rewards,Rewards & Loyalty,Promotional Offer,Loyalty Tier,Category Bonus,Tier Downgrade Surprise,Customer transferred points to airline partner 5 days ago but they still don't appear in the airline frequent flyer account.,"Points transfer status shows 'Processing' with no estimated completion time. No confirmation from the partner program.
Transfer is irreversible but the confirmation screen doesn't clearly warn about this.","Show estimated partner transfer completion time and partner program confirmation. Add transfer tracker.
Display clear irreversibility warning with partner program terms before confirming transfer.",No,Policy Restriction
AAdvantage,Fraud & Disputes,Provisional Credit,Dispute Resolution,Suspicious Activity,Chargeback Timeline Unclear,Customer got a fraud alert for an online purchase and clicked 'Not Me' but the transaction still went through on their account.,"Fraud alert response 'Not Me' doesn't automatically create a dispute case. Customer must separately call to initiate the dispute.
Real-time fraud blocking has a 30-second processing delay during which the fraudulent transaction can complete.","Auto-create dispute case when customer responds 'Not Me' to fraud alert. Block transaction in real-time before completion.
Reduce fraud alert processing to under 5 seconds to prevent fraudulent transactions from completing.",Yes,Process Gap
Rewards,Authentication & Access,Device Registration,Device Management,MFA/OTP,Account Lockout After 3 Attempts,Customer cannot log in because OTP is not being delivered to their phone. They've waited 15 minutes and tried 3 times.,"OTP delivery via SMS has 30-60 second delays during peak hours. No fallback to email or authenticator app OTP.
The 'Resend OTP' button has a 60-second cooldown with no visible timer showing remaining wait time.","Add email and authenticator app as OTP fallback channels. Show countdown timer on resend button.
Implement push notification OTP that doesn't depend on SMS delivery.",No,Process Gap
Rewards,Payments & Transfers,Bill Pay Problem,Fund Transfer,Wire Transfer,Bill Pay Scheduling Error,Balance transfer promotional APR is showing 15.99% instead of the 0% advertised in the mailer customer received.,"Balance transfer flow on mobile doesn't display the promotional APR until after the transfer is submitted. No ability to cancel a pending transfer.
The promo rate terms link opens a PDF that doesn't render properly on mobile devices.","Show promotional APR upfront in the transfer flow before submission. Allow transfer cancellation within 24 hours.
Render promo terms as native HTML instead of PDF for mobile readability.",No,Policy Restriction
Cash,Payments & Transfers,Balance Transfer,Fund Transfer,ACH Processing,Duplicate Payment Deduction,Wire transfer initiated from the app was stuck in pending for 5 business days. Branch says it was never submitted.,"Wire transfer form on app doesn't save beneficiary details. Customer must re-enter all fields for repeat transfers.
The intermediary bank field is required but no guidance is provided on when it's needed or how to find it.","Save beneficiary details for wire transfers. Add smart form that shows/hides intermediary bank field based on destination.
Pre-populate fields from previous transfers with one-tap repeat transfer option.",No,Process Gap
Cash,Rewards & Loyalty,Promotional Offer,Loyalty Tier,Cashback Posting,Promotional Points Missing,Customer used their card at a gas station but didn't get the 5x gas category bonus. The merchant coded as 'convenience store'.,"Merchant category code (MCC) used for bonus determination is not visible to the customer. No way to report incorrect merchant coding.
Category bonus exclusions (gas stations inside grocery stores, warehouse clubs) are not clearly explained.","Show the MCC code and category assigned to each transaction. Allow customers to flag incorrect merchant categorization.
Clearly list category bonus exclusions with examples on the rewards earning rules page.",No,UI/UX Flaw
AAdvantage,Authentication & Access,Biometric Login Failure,Device Management,MFA/OTP,Account Lockout After 3 Attempts,Customer keeps getting logged out every 5 minutes while trying to complete an application. Has to re-authenticate each time.,"Session timeout is set to 5 minutes with no activity detection. Background app refresh counts as inactivity.
No 'Keep me logged in' or 'Remember this device' option for trusted personal devices.","Extend session timeout to 15 minutes with active idle detection. Exclude background refresh from inactivity.
Add 'Remember Device' option for 30/60/90 days on personal devices.",No,Third-party Dependency
Cash,Profile & Settings,Email Update,Account Lifecycle,Communication Preferences,Name Change Document Upload Error,Customer moved to a new state but the address update on the app keeps saying 'Address could not be verified' for their new apartment.,"Address validation uses a strict USPS database that doesn't recognize new constructions or apartment complexes less than 6 months old.
App doesn't offer manual address override or 'use this address anyway' option when validation fails.","Add 'Use this address anyway' override with attestation checkbox when USPS validation fails.
Update address database more frequently and support new construction addresses with unit number variations.",No,Policy Restriction
ATT,Transactions & Statements,Duplicate Charge,Statement Access,Pending Transaction,Transaction Not Showing,Customer thinks they were double-billed because their closing date changed and charges appear on two consecutive statements.,"Statement cycle dates are not prominently displayed. The app doesn't explain that changing due date shifts the billing cycle.
No way to view which transactions fall into which statement period without downloading individual PDFs.","Display statement period dates on the transaction list header. Add visual dividers between billing cycles.
Show a 'This Statement' vs 'Next Statement' toggle for easy period navigation.",No,UI/UX Flaw
Rewards,Transactions & Statements,Missing Transaction,Charge Inquiry,Pending Transaction,Transaction Not Showing,Same restaurant charge appears twice in the transaction list but the customer says they only visited once. Amounts are identical.,"Transaction list doesn't merge duplicate authorization/settlement entries. Same charge appears as both 'pending' and 'posted'.
No visual indicator to distinguish between pending authorizations and final posted charges.","Auto-merge duplicate pending/posted entries for the same authorization. Add clear 'Pending' vs 'Posted' badges.
Only show final posted amount once settlement completes and remove the pending entry.",No,System Bug/Outage
ATT,Profile & Settings,Phone Number Update,Account Preferences,Privacy Settings,Account Closure Multi-Step Burden,Customer got a new phone number but can't update it on the app. The app says 'Contact us to update phone number'.,"Phone number change is blocked on digital channels for security. No self-service flow exists even with identity verification.
The app directs to a call center that has 45+ minute average hold times for phone updates.","Build secure self-service phone update flow with multi-factor identity verification (ID upload + security questions).
Reduce call center hold times for phone updates by adding callback scheduling option.",Yes,Information Gap
AAdvantage,Profile & Settings,Phone Number Update,Account Preferences,Account Closure Process,Phone Update Requires Branch Visit,Customer wants to add their spouse as an authorized user but the form requires a SSN and the spouse is reluctant to enter it online.,"Authorized user form requires SSN entry on a single page with all other info. No explanation of why SSN is needed or how it's protected.
No option for the authorized user to enter their own SSN via a secure separate link.","Allow authorized user to complete their sensitive info via a separate secure tokenized link.
Explain SSN requirement with privacy policy link and show security badge on the form.",Yes,Policy Restriction
Costco,Fraud & Disputes,Card Replacement,Fraud Prevention,Card Controls,Investigation Status Opaque,Customer filed a dispute 3 weeks ago and has no idea where it stands. The app just says 'Under Review' with no timeline.,"Dispute status page shows only 'Under Review' with no timeline, no case manager contact, and no progress indicators.
Customer can't see what documents have been submitted or what's still needed without calling the dispute team.","Show dispute timeline with stages (Filed > Under Review > Merchant Response > Resolution) and estimated days per stage.
Provide case manager name and secure messaging for dispute communication within the app.",Yes,Process Gap
ATT,Authentication & Access,Device Registration,Device Management,Biometric Auth,Password Complexity Rejection,Customer got a new phone and now has to re-register the device. The registration process asks for a code sent to old phone number.,"Device registration sends verification code to the phone number on file which may be outdated. No email verification option.
New device registration invalidates all other trusted devices forcing re-authentication everywhere.","Allow email-based device verification as alternative to SMS. Don't invalidate other devices on new registration.
Provide 'Transfer Trust' flow that migrates device trust from old phone via QR code scan.",Yes,Policy Restriction
Rewards,Profile & Settings,Account Closure,Account Preferences,Communication Preferences,Email Change Delayed Verification,Customer had a legal name change and uploaded their court order document but the upload keeps failing with 'File too large' error.,"Document upload has a 2MB file size limit which rejects most phone camera photos. No image compression built in.
Supported format list (PDF, JPG) is only shown after upload failure. HEIC from iPhone is not supported.","Increase upload limit to 10MB with built-in image compression. Support HEIC, PNG, PDF, JPG formats.
Show supported formats and size limits before upload attempt with built-in camera capture option.",No,System Bug/Outage
Costco,Fraud & Disputes,Fraud Alert,Dispute Resolution,Card Controls,Chargeback Timeline Unclear,Customer's card was compromised and they need a replacement but expedited shipping costs $25. Standard shipping takes 7-10 business days.,"Replacement card ordering doesn't show estimated delivery date. Expedited shipping option is expensive and not clearly presented.
Digital card number for immediate online use is not offered during the replacement process.","Show estimated delivery date for replacement cards. Offer instant digital card number for immediate online use.
Provide free expedited shipping for fraud-related replacements.",No,Policy Restriction
Cash,Profile & Settings,Address Change,Personal Info Update,Account Closure Process,Account Closure Multi-Step Burden,Customer changed their email address but verification email was sent to the OLD email address which they no longer have access to.,"Email change verification is sent to the OLD email as a 'security measure' but customers changing email often lost access to the old one.
No alternative verification path using SMS or identity documents for email changes.","Send email change verification to the NEW email with additional SMS verification to the phone on file.
Offer identity document upload as alternative verification when customer can't access old email.",Yes,Process Gap
ATT,Profile & Settings,Notification Preferences,Personal Info Update,Document Verification,Notification Toggle Missing,Customer got a new phone number but can't update it on the app. The app says 'Contact us to update phone number'.,"Phone number change is blocked on digital channels for security. No self-service flow exists even with identity verification.
The app directs to a call center that has 45+ minute average hold times for phone updates.","Build secure self-service phone update flow with multi-factor identity verification (ID upload + security questions).
Reduce call center hold times for phone updates by adding callback scheduling option.",Yes,Information Gap
Costco,Payments & Transfers,Balance Transfer,Fund Transfer,Payment Reversal,Refund Not Reflected,Wire transfer initiated from the app was stuck in pending for 5 business days. Branch says it was never submitted.,"Wire transfer form on app doesn't save beneficiary details. Customer must re-enter all fields for repeat transfers.
The intermediary bank field is required but no guidance is provided on when it's needed or how to find it.","Save beneficiary details for wire transfers. Add smart form that shows/hides intermediary bank field based on destination.
Pre-populate fields from previous transfers with one-tap repeat transfer option.",Yes,Policy Restriction
ATT,Authentication & Access,Biometric Login Failure,Device Management,MFA/OTP,Device Registration Loop,Customer set up a new password meeting all requirements but gets 'Password not accepted' error with no explanation of what's wrong.,"Password requirements are complex (12+ chars, upper, lower, number, special) but error messages don't specify which rule failed.
Previous 12 passwords are blocked but the system doesn't tell you it's a reuse -- just says 'not accepted'.","Show real-time password rule validation with green checkmarks. Explicitly name which rule failed on rejection.
Clearly state 'This password was used previously' instead of generic 'not accepted' message.",Yes,UI/UX Flaw
Costco,Rewards & Loyalty,Points Balance,Points Earning,Cashback Posting,Tier Downgrade Surprise,Customer transferred points to airline partner 5 days ago but they still don't appear in the airline frequent flyer account.,"Points transfer status shows 'Processing' with no estimated completion time. No confirmation from the partner program.
Transfer is irreversible but the confirmation screen doesn't clearly warn about this.","Show estimated partner transfer completion time and partner program confirmation. Add transfer tracker.
Display clear irreversibility warning with partner program terms before confirming transfer.",Yes,Information Gap
ATT,Profile & Settings,Address Change,Personal Info Update,Privacy Settings,Address Validation Failure,Customer changed their email address but verification email was sent to the OLD email address which they no longer have access to.,"Email change verification is sent to the OLD email as a 'security measure' but customers changing email often lost access to the old one.
No alternative verification path using SMS or identity documents for email changes.","Send email change verification to the NEW email with additional SMS verification to the phone on file.
Offer identity document upload as alternative verification when customer can't access old email.",Yes,Process Gap
AAdvantage,Authentication & Access,Device Registration,Account Security,Trusted Device,Account Lockout After 3 Attempts,Customer set up a new password meeting all requirements but gets 'Password not accepted' error with no explanation of what's wrong.,"Password requirements are complex (12+ chars, upper, lower, number, special) but error messages don't specify which rule failed.
Previous 12 passwords are blocked but the system doesn't tell you it's a reuse -- just says 'not accepted'.","Show real-time password rule validation with green checkmarks. Explicitly name which rule failed on rejection.
Clearly state 'This password was used previously' instead of generic 'not accepted' message.",No,System Bug/Outage
Costco,Transactions & Statements,Unrecognized Charge,Charge Inquiry,PDF Statement,Merchant Name Mismatch,Statement PDF won't download on the mobile app. Shows loading spinner for 30 seconds then displays 'Unable to generate statement'.,"Statement PDF generation times out on mobile. The download button doesn't provide progress feedback or file size indication.
Past statements beyond 12 months are not accessible digitally -- customer must call to request archived statements.","Optimize PDF generation for mobile with progress bar. Cache recently generated statements for instant re-download.
Provide 7-year digital statement archive accessible from the app without calling.",No,Third-party Dependency
Costco,Transactions & Statements,Unrecognized Charge,Statement Access,Real-time Posting,Merchant Name Mismatch,Customer cannot view transactions older than 90 days on the app. Needs records from 6 months ago for tax purposes.,"App only displays 90 days of transactions by default. 'View More' link is hard to find and loads slowly with no pagination.
Exporting transactions to CSV/PDF for older periods requires multiple separate downloads by month.","Display full transaction history with infinite scroll and fast pagination. Enable one-click CSV export for any date range.
Add tax-year quick filter for easy end-of-year transaction export.",No,Process Gap
Rewards,Transactions & Statements,Duplicate Charge,Charge Inquiry,Transaction Search,Transaction Search Not Working,Statement PDF won't download on the mobile app. Shows loading spinner for 30 seconds then displays 'Unable to generate statement'.,"Statement PDF generation times out on mobile. The download button doesn't provide progress feedback or file size indication.
Past statements beyond 12 months are not accessible digitally -- customer must call to request archived statements.","Optimize PDF generation for mobile with progress bar. Cache recently generated statements for instant re-download.
Provide 7-year digital statement archive accessible from the app without calling.",No,Policy Restriction
AAdvantage,Profile & Settings,Notification Preferences,Account Preferences,Contact Information,Phone Update Requires Branch Visit,Customer wants to close their account but the app says 'Visit a branch or call us'. There's no online closure option.,"Account closure requires calling or visiting a branch. No digital self-service option even for zero-balance accounts.
The closure process takes 30+ days with no status tracking and requires 3 separate confirmation steps.","Enable digital account closure for zero-balance accounts with no outstanding obligations.
Provide closure status tracking and reduce processing time to 5 business days with clear timeline.",No,Policy Restriction
Rewards,Authentication & Access,Account Locked,Sign On,Biometric Auth,Biometric Fallback Missing,Customer got a new phone and now has to re-register the device. The registration process asks for a code sent to old phone number.,"Device registration sends verification code to the phone number on file which may be outdated. No email verification option.
New device registration invalidates all other trusted devices forcing re-authentication everywhere.","Allow email-based device verification as alternative to SMS. Don't invalidate other devices on new registration.
Provide 'Transfer Trust' flow that migrates device trust from old phone via QR code scan.",Yes,UI/UX Flaw
Rewards,Rewards & Loyalty,Promotional Offer,Points Earning,Travel Redemption,Partner Transfer Delay,Customer made $300 in grocery purchases last month but points for the 3x category bonus weren't credited. Regular 1x points were applied.,"Category bonus tracking in the app doesn't show which merchants qualify for enhanced earning rates. No real-time earn rate preview.
Bonus category spend progress is only visible in the rewards section, not on the transaction detail screen.","Show merchant earning rate preview on each transaction. Display bonus category progress on the main rewards dashboard.
Add real-time earn rate indicator on transaction detail screens with qualifying merchant badge.",Yes,Process Gap
Costco,Rewards & Loyalty,Redemption Issue,Loyalty Tier,Cashback Posting,Tier Downgrade Surprise,Customer's cashback was posted as points instead of statement credit. They can't find where to change their redemption preference.,"Cashback redemption preference setting is hidden under Rewards > Settings > Preferences > Redemption Method (4 levels deep).
No way to set default redemption for all future cashback -- must choose each time.","Move redemption preference to top-level rewards settings (1 tap from dashboard). Add 'Set as default' option.
Allow customers to set auto-redemption rules (e.g., auto statement credit every 5,000 points).",Yes,Information Gap
ATT,Authentication & Access,Account Locked,Device Management,Password Management,SMS OTP Delay,MFA setup wizard crashes on Android when trying to set up the authenticator app. Falls back to SMS which customer doesn't want.,"MFA authenticator app setup generates a QR code that's too small to scan on some Android devices. Manual key entry is hidden.
No ability to set preferred MFA method -- defaults to SMS even after setting up authenticator app.","Generate larger QR codes with zoom option. Show manual setup key prominently alongside QR.
Let users set preferred MFA method in security settings and remember the preference.",No,Process Gap
AAdvantage,Rewards & Loyalty,Redemption Issue,Loyalty Tier,Category Bonus,Partner Transfer Delay,Customer's anniversary bonus points from last year haven't been credited. Account anniversary was 3 months ago.,"Anniversary bonus posting timeline is not documented anywhere in the app. No tracker showing when bonus will be credited.
Account anniversary date is not displayed in the app -- customer can't verify when it is.","Display anniversary bonus posting timeline and account anniversary date prominently in rewards section.
Send push notification when anniversary bonus is credited or if there's a delay.",No,Third-party Dependency
AAdvantage,Transactions & Statements,Unrecognized Charge,Statement Access,Transaction Search,Transaction Not Showing,Customer thinks they were double-billed because their closing date changed and charges appear on two consecutive statements.,"Statement cycle dates are not prominently displayed. The app doesn't explain that changing due date shifts the billing cycle.
No way to view which transactions fall into which statement period without downloading individual PDFs.","Display statement period dates on the transaction list header. Add visual dividers between billing cycles.
Show a 'This Statement' vs 'Next Statement' toggle for easy period navigation.",Yes,Policy Restriction
ATT,Transactions & Statements,Unrecognized Charge,Charge Inquiry,Transaction Search,Transaction Not Showing,Customer doesn't recognize a charge labeled 'DBI*MGMT FEE' on their statement. Wants to know what it is before disputing.,"Merchant names in transaction list use payment processor codes instead of recognizable business names (e.g., 'SQ *COFFEE' instead of 'Blue Bottle Coffee').
No merchant category or location info displayed to help customers identify charges.","Implement merchant name enrichment using merchant category codes and location data. Show business names instead of processor codes.
Add merchant logo, category icon, and map location for in-store transactions.",Yes,Policy Restriction
ATT,Authentication & Access,Account Locked,Device Management,Biometric Auth,Account Lockout After 3 Attempts,Password reset link in email expired before customer could use it. The link is only valid for 15 minutes.,"Password reset email link expires in 15 minutes which is too short. The reset page doesn't indicate time remaining.
Password requirements are only shown after a failed attempt, not proactively during creation.","Extend password reset link validity to 60 minutes. Show expiry countdown on the reset page.
Display password requirements upfront with real-time validation checkmarks during creation.",No,Process Gap
ATT,Rewards & Loyalty,Points Expiry,Loyalty Tier,Category Bonus,Partner Transfer Delay,Customer's cashback was posted as points instead of statement credit. They can't find where to change their redemption preference.,"Cashback redemption preference setting is hidden under Rewards > Settings > Preferences > Redemption Method (4 levels deep).
No way to set default redemption for all future cashback -- must choose each time.","Move redemption preference to top-level rewards settings (1 tap from dashboard). Add 'Set as default' option.
Allow customers to set auto-redemption rules (e.g., auto statement credit every 5,000 points).",No,System Bug/Outage
ATT,Rewards & Loyalty,Earn Rate Question,Loyalty Tier,Anniversary Bonus,Points Not Credited,Customer used their card at a gas station but didn't get the 5x gas category bonus. The merchant coded as 'convenience store'.,"Merchant category code (MCC) used for bonus determination is not visible to the customer. No way to report incorrect merchant coding.
Category bonus exclusions (gas stations inside grocery stores, warehouse clubs) are not clearly explained.","Show the MCC code and category assigned to each transaction. Allow customers to flag incorrect merchant categorization.
Clearly list category bonus exclusions with examples on the rewards earning rules page.",Yes,System Bug/Outage
ATT,Payments & Transfers,Payment Failed,Payment Processing,Wire Transfer,Bill Pay Scheduling Error,Bill pay scheduled for the 15th was processed on the 13th causing an overdraft in the linked checking account.,"Bill pay date picker doesn't clearly indicate processing time (1-3 business days). Calendar UI cuts off on smaller screens.
No confirmation screen showing the exact date funds will be withdrawn from the linked account.","Show fund withdrawal date clearly during bill pay setup. Add processing time tooltip. Fix calendar UI for small screens.
Implement confirmation screen with exact debit date and option to edit before final submission.",Yes,System Bug/Outage
Cash,Profile & Settings,Account Closure,Account Preferences,Account Closure Process,Name Change Document Upload Error,Customer had a legal name change and uploaded their court order document but the upload keeps failing with 'File too large' error.,"Document upload has a 2MB file size limit which rejects most phone camera photos. No image compression built in.
Supported format list (PDF, JPG) is only shown after upload failure. HEIC from iPhone is not supported.","Increase upload limit to 10MB with built-in image compression. Support HEIC, PNG, PDF, JPG formats.
Show supported formats and size limits before upload attempt with built-in camera capture option.",Yes,Information Gap
Costco,Profile & Settings,Account Closure,Account Preferences,Privacy Settings,Address Validation Failure,Customer got a new phone number but can't update it on the app. The app says 'Contact us to update phone number'.,"Phone number change is blocked on digital channels for security. No self-service flow exists even with identity verification.
The app directs to a call center that has 45+ minute average hold times for phone updates.","Build secure self-service phone update flow with multi-factor identity verification (ID upload + security questions).
Reduce call center hold times for phone updates by adding callback scheduling option.",Yes,Information Gap
AAdvantage,Transactions & Statements,Statement Error,Statement Access,Real-time Posting,Transaction Search Not Working,Customer cannot view transactions older than 90 days on the app. Needs records from 6 months ago for tax purposes.,"App only displays 90 days of transactions by default. 'View More' link is hard to find and loads slowly with no pagination.
Exporting transactions to CSV/PDF for older periods requires multiple separate downloads by month.","Display full transaction history with infinite scroll and fast pagination. Enable one-click CSV export for any date range.
Add tax-year quick filter for easy end-of-year transaction export.",No,Process Gap
Rewards,Rewards & Loyalty,Earn Rate Question,Rewards Redemption,Cashback Posting,Promotional Points Missing,Customer was downgraded from Platinum to Gold tier without any warning or notification. Lost access to airport lounge benefit.,"Tier status and benefits are displayed on a page that hasn't been updated for mobile. Tier progress bar doesn't show spend needed for next tier.
No proactive notification before tier downgrade -- customer only discovers it when trying to use a benefit.","Show tier progress bar with exact spend needed for retention/upgrade. Send 90-day and 30-day tier expiry warnings.
List all tier benefits clearly with real-time access status (active/at risk).",No,UI/UX Flaw
Costco,Rewards & Loyalty,Earn Rate Question,Rewards Redemption,Travel Redemption,Partner Transfer Delay,Customer made $300 in grocery purchases last month but points for the 3x category bonus weren't credited. Regular 1x points were applied.,"Category bonus tracking in the app doesn't show which merchants qualify for enhanced earning rates. No real-time earn rate preview.
Bonus category spend progress is only visible in the rewards section, not on the transaction detail screen.","Show merchant earning rate preview on each transaction. Display bonus category progress on the main rewards dashboard.
Add real-time earn rate indicator on transaction detail screens with qualifying merchant badge.",No,System Bug/Outage
ATT,Fraud & Disputes,Dispute Status,Fraud Prevention,Fraud Investigation,Investigation Status Opaque,Customer wants to lock their card temporarily while they look for it at home. The app only offers 'Report Lost/Stolen' which permanently cancels the card.,"App only offers permanent card cancellation -- no temporary lock/unlock toggle. Customer must call to place a temporary hold.
The 'Report Lost/Stolen' flow immediately orders a new card and deactivates the current one with no confirmation step.","Add temporary card lock/unlock toggle on the card management screen. Separate from 'Report Lost/Stolen' flow.
Add confirmation step before permanent card cancellation with explanation of the difference.",Yes,UI/UX Flaw
AAdvantage,Transactions & Statements,Statement Error,Transaction History,Real-time Posting,Statement PDF Download Failure,Same restaurant charge appears twice in the transaction list but the customer says they only visited once. Amounts are identical.,"Transaction list doesn't merge duplicate authorization/settlement entries. Same charge appears as both 'pending' and 'posted'.
No visual indicator to distinguish between pending authorizations and final posted charges.","Auto-merge duplicate pending/posted entries for the same authorization. Add clear 'Pending' vs 'Posted' badges.
Only show final posted amount once settlement completes and remove the pending entry.",No,UI/UX Flaw
AAdvantage,Transactions & Statements,Duplicate Charge,Transaction History,PDF Statement,Transaction Search Not Working,Transaction search only works with exact merchant names. Searching 'amazon' doesn't find 'AMZN MKTP US' or 'Amazon.com'.,"Transaction search uses exact string matching only. No fuzzy search, no merchant category filters, no amount range filters.
Search results don't highlight matching terms or sort by relevance -- just reverse chronological order.","Add fuzzy search with merchant category filters and amount range sliders. Support partial name matching.
Highlight search matches in results and add relevance-based sorting alongside chronological.",No,Policy Restriction
Rewards,Payments & Transfers,Balance Transfer,Billing,Payment Reversal,Payment Gateway Timeout,Auto Pay was set up but the payment didn't go through this month. Customer was charged a late fee as a result.,"Auto Pay enrollment screen doesn't confirm the payment date clearly. The toggle switch for auto pay on/off is buried under 'More Options'.
Customer cannot see scheduled auto pay details without navigating to a separate 'Scheduled Payments' section.","Redesign Auto Pay setup with clear date confirmation and summary screen. Surface auto pay status on account dashboard.
Send payment confirmation notifications 2 days before and immediately after auto pay execution.",No,Policy Restriction
Rewards,Transactions & Statements,Statement Download,Statement Access,Pending Transaction,Transaction Search Not Working,Customer made a purchase yesterday but it's not showing in the transaction history on the app. The merchant confirmed the charge went through.,"Transaction history has a 24-48 hour delay for new purchases to appear. No 'pending' indicator for recently authorized transactions.
Real-time balance doesn't match transaction total due to holds and pending charges not being displayed.","Implement real-time transaction feed with pending indicators and authorization timestamps.
Show 'pending' charges immediately and auto-merge with posted charges when settled.",No,UI/UX Flaw
ATT,Profile & Settings,Address Change,Account Preferences,Communication Preferences,Address Validation Failure,Customer's mailing address shows their old address on statements even though they updated it in the app 2 months ago.,"Address update in profile doesn't propagate to statement delivery address automatically. These are managed as separate fields.
No confirmation that address change was successful -- customer only discovers it wasn't updated at next statement.","Auto-propagate address changes to all linked services (statements, cards, correspondence).
Show confirmation banner after address update with list of all affected services and estimated update timeline.",Yes,UI/UX Flaw
AAdvantage,Fraud & Disputes,Card Replacement,Card Security,Credit Provisioning,Investigation Status Opaque,Customer filed a dispute 3 weeks ago and has no idea where it stands. The app just says 'Under Review' with no timeline.,"Dispute status page shows only 'Under Review' with no timeline, no case manager contact, and no progress indicators.
Customer can't see what documents have been submitted or what's still needed without calling the dispute team.","Show dispute timeline with stages (Filed > Under Review > Merchant Response > Resolution) and estimated days per stage.
Provide case manager name and secure messaging for dispute communication within the app.",No,Information Gap
AAdvantage,Profile & Settings,Account Closure,Account Preferences,Contact Information,Name Change Document Upload Error,Customer wants to close their account but the app says 'Visit a branch or call us'. There's no online closure option.,"Account closure requires calling or visiting a branch. No digital self-service option even for zero-balance accounts.
The closure process takes 30+ days with no status tracking and requires 3 separate confirmation steps.","Enable digital account closure for zero-balance accounts with no outstanding obligations.
Provide closure status tracking and reduce processing time to 5 business days with clear timeline.",Yes,UI/UX Flaw
Rewards,Rewards & Loyalty,Redemption Issue,Points Earning,Category Bonus,Promotional Points Missing,Customer's cashback was posted as points instead of statement credit. They can't find where to change their redemption preference.,"Cashback redemption preference setting is hidden under Rewards > Settings > Preferences > Redemption Method (4 levels deep).
No way to set default redemption for all future cashback -- must choose each time.","Move redemption preference to top-level rewards settings (1 tap from dashboard). Add 'Set as default' option.
Allow customers to set auto-redemption rules (e.g., auto statement credit every 5,000 points).",No,Policy Restriction
Cash,Rewards & Loyalty,Earn Rate Question,Loyalty Tier,Category Bonus,Category Bonus Not Applied,"Customer wants to redeem points for a flight but the minimum redemption is 25,000 points and they have 24,500. No option for partial points + cash.","Redemption flow requires minimum 25,000 points with no points+cash option. Available redemption options are buried in a sub-menu.
Travel redemption search is a separate portal that doesn't integrate with the main app experience.","Implement points+cash hybrid redemption for any amount. Surface all redemption options on one clean screen.
Integrate travel search directly into the main app with points value calculator for each option.",No,System Bug/Outage
